age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
24,blue-collar,single,unknown,no,93329,yes,no,telephone,10,mar,1056,5,-1,5,failure,no
78,housemaid,divorced,secondary,no,48987,no,no,telephone,16,oct,1190,43,-1,4,failure,no
69,management,married,tertiary,no,59552,no,no,unknown,2,apr,3168,41,-1,1,unknown,yes
52,retired,single,tertiary,no,30899,no,no,telephone,11,jul,4819,56,697,1,success,yes
51,unemployed,divorced,unknown,no,89973,yes,no,telephone,3,nov,4504,37,860,2,failure,no
84,student,divorced,unknown,no,256,no,yes,unknown,10,mar,558,43,-1,2,unknown,no
24,blue-collar,single,unknown,no,22398,no,no,unknown,11,jun,3342,23,16,1,success,yes
72,services,married,tertiary,no,101006,yes,no,unknown,1,mar,3727,25,-1,0,success,yes
33,entrepreneur,married,unknown,no,45253,yes,no,telephone,10,jun,199,26,-1,2,unknown,no
25,technician,single,tertiary,no,11225,yes,no,cellular,21,apr,3135,62,-1,2,other,yes
59,unknown,single,tertiary,no,37511,no,no,cellular,31,nov,2186,30,-1,1,success,yes
94,housemaid,married,secondary,no,20083,no,no,cellular,20,apr,959,55,-1,4,other,no
75,self-employed,married,unknown,no,49781,yes,no,cellular,23,aug,3884,21,-1,1,failure,yes
77,retired,single,unknown,no,17950,no,no,cellular,21,feb,4600,44,28,5,other,yes
73,blue-collar,divorced,primary,no,35926,no,no,unknown,30,jun,2942,18,-1,0,unknown,no
79,technician,married,primary,no,91873,no,no,cellular,30,nov,990,26,-1,3,success,no
58,blue-collar,single,secondary,no,1060,no,no,unknown,4,sep,2109,55,-1,5,other,no
27,technician,married,primary,no,76005,no,no,telephone,15,apr,2536,44,268,1,unknown,yes
83,entrepreneur,married,tertiary,no,600,yes,no,unknown,29,dec,4438,31,-1,3,failure,yes
53,self-employed,single,primary,no,42306,no,yes,unknown,28,oct,3888,26,-1,4,failure,yes
57,technician,married,secondary,no,65516,yes,no,cellular,17,may,3299,51,-1,2,success,yes
46,management,married,primary,no,97096,no,no,cellular,14,dec,3756,10,-1,3,success,yes
32,admin.,divorced,primary,no,19509,yes,yes,cellular,2,mar,3414,54,572,3,failure,no
90,blue-collar,married,unknown,no,-2194,yes,no,telephone,15,apr,1572,39,-1,2,unknown,no
78,retired,married,primary,no,74593,no,yes,telephone,16,dec,656,21,261,2,unknown,no
68,technician,divorced,tertiary,no,90303,no,yes,cellular,20,dec,4128,44,-1,2,other,yes
49,entrepreneur,single,tertiary,no,54156,no,no,telephone,17,oct,2724,63,-1,0,failure,no
82,retired,married,unknown,no,-1353,no,yes,cellular,7,mar,4732,23,-1,2,other,yes
60,self-employed,single,unknown,no,47073,no,no,unknown,31,mar,3349,25,-1,1,failure,yes
52,unknown,single,tertiary,no,35024,no,no,unknown,7,aug,2331,59,-1,2,success,no
53,admin.,married,unknown,no,41662,no,yes,unknown,12,jan,3181,22,-1,1,other,yes
35,admin.,single,tertiary,no,-2060,yes,no,unknown,16,dec,3208,54,-1,3,success,yes
25,blue-collar,single,primary,no,26908,no,no,telephone,10,dec,4828,57,-1,0,unknown,yes
61,blue-collar,married,tertiary,no,101886,yes,no,cellular,3,oct,1793,37,-1,0,failure,no
87,retired,divorced,secondary,no,-2963,no,no,cellular,19,dec,1870,6,216,1,other,no
22,management,single,primary,no,92582,yes,yes,cellular,8,mar,1741,4,-1,3,other,yes
84,self-employed,divorced,unknown,no,48928,yes,no,unknown,28,nov,530,18,480,1,failure,no
82,services,married,unknown,no,56327,yes,no,telephone,25,apr,2310,2,-1,2,other,yes
39,blue-collar,married,unknown,no,94686,yes,no,unknown,14,feb,2190,49,-1,0,other,no
67,unknown,divorced,primary,no,15962,no,no,cellular,15,apr,969,41,-1,2,other,no
30,blue-collar,divorced,secondary,no,100284,no,yes,telephone,30,oct,4009,29,-1,2,other,yes
77,services,married,primary,no,22445,no,no,telephone,1,dec,3391,52,-1,1,unknown,yes
72,unemployed,divorced,unknown,no,30399,yes,no,cellular,12,aug,1188,9,50,0,unknown,no
45,technician,married,primary,no,41449,yes,no,telephone,2,mar,814,32,-1,3,failure,no
23,unknown,single,unknown,no,58169,yes,no,unknown,5,aug,3040,22,227,1,unknown,yes
93,management,married,tertiary,no,27505,no,no,unknown,29,jul,25,2,-1,2,other,no
52,retired,single,unknown,no,79241,no,no,cellular,4,jul,743,31,227,4,other,no
87,entrepreneur,divorced,primary,no,-5656,yes,no,unknown,30,may,2161,10,-1,0,unknown,yes
70,unknown,divorced,tertiary,no,65326,yes,yes,unknown,25,feb,4872,3,80,4,success,yes
78,retired,divorced,primary,no,64188,no,no,telephone,20,may,375,14,-1,2,other,no
77,blue-collar,married,tertiary,no,50800,no,no,telephone,24,nov,2600,13,-1,3,failure,yes
33,unknown,divorced,primary,no,59477,yes,no,unknown,6,may,2766,40,-1,0,unknown,no
46,unemployed,single,primary,no,74245,yes,yes,unknown,4,jan,1238,50,-1,2,unknown,no
54,unemployed,single,tertiary,no,91474,no,no,cellular,12,may,2559,31,-1,2,success,no
56,management,divorced,unknown,no,16022,no,no,unknown,24,jun,3119,41,-1,1,unknown,no
21,unknown,single,tertiary,no,44453,no,yes,unknown,10,aug,675,7,-1,3,success,no
60,housemaid,single,unknown,no,53840,no,yes,telephone,6,aug,4693,50,-1,3,other,yes
30,admin.,single,primary,no,29917,no,no,telephone,25,jun,1210,32,-1,2,other,no
75,entrepreneur,single,tertiary,no,99124,yes,no,telephone,20,feb,1813,27,-1,3,success,no
71,services,divorced,tertiary,no,48266,no,no,unknown,17,jun,120,55,-1,2,success,yes
89,technician,single,secondary,no,57191,yes,no,telephone,13,jan,2919,20,-1,4,failure,yes
76,management,single,secondary,no,13416,yes,no,unknown,25,jul,2921,28,-1,1,success,no
46,services,married,tertiary,no,37737,yes,no,telephone,23,jun,571,59,-1,4,unknown,no
93,admin.,single,secondary,no,60809,no,no,cellular,12,may,1440,10,-1,2,success,yes
50,unemployed,divorced,secondary,no,39117,yes,no,unknown,5,aug,3771,33,-1,3,failure,no
43,unknown,single,tertiary,no,76703,yes,yes,telephone,27,oct,3507,37,336,0,other,yes
88,housemaid,married,secondary,no,7039,no,no,cellular,5,apr,1511,45,-1,0,success,no
46,retired,single,tertiary,no,8880,yes,no,unknown,14,jul,3098,59,-1,5,failure,yes
23,self-employed,divorced,primary,no,29288,no,no,telephone,28,jul,3674,22,80,0,unknown,yes
54,technician,married,primary,yes,27022,no,no,telephone,13,jul,1837,8,-1,3,success,yes
80,technician,married,secondary,no,81699,no,no,cellular,26,may,864,26,34,2,unknown,no
32,unemployed,single,primary,no,87458,no,no,cellular,16,mar,106,10,843,3,other,no
54,housemaid,single,secondary,no,43915,no,no,unknown,24,mar,4696,46,35,0,failure,no
28,student,married,primary,no,47608,no,no,cellular,19,jan,1574,36,485,1,failure,no
71,blue-collar,divorced,tertiary,yes,24380,no,no,telephone,9,jan,3965,48,-1,2,failure,yes
55,management,divorced,secondary,no,50502,yes,no,cellular,28,oct,1598,22,-1,5,other,no
43,student,single,unknown,no,69711,yes,no,telephone,15,jan,3503,61,123,2,unknown,yes
35,services,single,tertiary,no,71464,no,no,unknown,15,nov,1636,57,-1,3,unknown,no
62,entrepreneur,married,primary,no,98586,yes,no,unknown,21,nov,2987,58,-1,3,failure,yes
70,unemployed,divorced,secondary,yes,55568,yes,no,unknown,29,mar,4689,45,498,2,success,yes
